ip Source,ip Destination,Protocol,Epoch
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414407000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414457000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414465000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414468000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414470000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414531000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414641000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414750000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414756000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414871000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414875000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:04.416154000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.734954000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.734964000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.734966000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:04.735585000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736448000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736457000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736460000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736462000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736464000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736466000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736469000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736627000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736635000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736669000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736868000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736872000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736874000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736889000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.736962000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.737009000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.737121000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.737179000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.737249000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.737299000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:04.738207000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:09.019455000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:09.019620000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:15.312221000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:15.312280000"
10.12.15.101,10.12.15.1,UDP,"Dec 15, 2023 13:05:18.182051000"
10.12.15.101,10.12.15.1,UDP,"Dec 15, 2023 13:05:18.285331000"
10.12.15.101,10.12.15.1,UDP,"Dec 15, 2023 13:05:18.285391000"
10.12.15.101,10.12.15.1,UDP,"Dec 15, 2023 13:05:18.299898000"
10.12.15.101,10.12.15.1,UDP,"Dec 15, 2023 13:05:18.299908000"
10.12.15.101,10.12.15.1,UDP,"Dec 15, 2023 13:05:18.300006000"
10.12.15.1,10.12.15.101,UDP,"Dec 15, 2023 13:05:18.427033000"
